transcript_id	TPM
Gpal_D383_g00001.t1	16.455812
Gpal_D383_g00003.t1	7.114801
Gpal_D383_g00007.t1	0.367027
Gpal_D383_g00004.t1	16.973194
Gpal_D383_g00009.t1	0.000000
Gpal_D383_g00010.t1	27.936140
Gpal_D383_g00011.t1	24.471796
Gpal_D383_g00012.t1	56.222843
Gpal_D383_g00013.t1	17.087658
Gpal_D383_g00014.t1	42.739056
Gpal_D383_g00015.t1	2.713542
Gpal_D383_g00016.t1	16.802242
Gpal_D383_g00029.t1	42.923195
Gpal_D383_g00027.t1	0.000000
Gpal_D383_g00028.t1	0.000000
Gpal_D383_g00028.t2	0.000000
Gpal_D383_g00028.t3	0.000000
Gpal_D383_g00028.t4	0.000000
Gpal_D383_g00026.t1	471.083984
Gpal_D383_g00022.t1	26.295584
Gpal_D383_g00002.t2	5.907861
Gpal_D383_g00002.t1	0.083439
Gpal_D383_g00002.t3	0.275643
Gpal_D383_g00024.t1	3.345275
Gpal_D383_g00018.t1	0.000000
Gpal_D383_g00019.t1	0.000000
Gpal_D383_g00017.t3	16.537071
Gpal_D383_g00017.t2	3.263817
Gpal_D383_g00017.t1	0.843646
Gpal_D383_g00020.t1	65.099709
Gpal_D383_g00008.t1	0.493434
Gpal_D383_g00021.t1	36.579800
Gpal_D383_g00030.t1	60.434818
Gpal_D383_g00031.t1	0.000000
Gpal_D383_g00032.t1	7.109005
Gpal_D383_g00033.t1	35.946106
Gpal_D383_g00034.t1	16.471621
Gpal_D383_g00037.t2	0.000000
Gpal_D383_g00037.t5	0.000000
Gpal_D383_g00037.t6	0.000000
Gpal_D383_g00037.t7	0.000000
Gpal_D383_g00037.t8	0.000000
Gpal_D383_g00036.t1	20.293291
Gpal_D383_g00037.t1	4.312310
Gpal_D383_g00037.t4	5.371613
Gpal_D383_g00037.t3	3.480071
Gpal_D383_g00038.t1	86.177750
Gpal_D383_g00039.t1	0.000000
Gpal_D383_g00039.t3	0.000000
Gpal_D383_g00039.t2	3.075520
Gpal_D383_g00040.t1	16.446566
Gpal_D383_g00041.t2	4.813765
Gpal_D383_g00041.t1	1.988200
Gpal_D383_g00041.t3	5.089444
Gpal_D383_g00042.t1	0.000000
Gpal_D383_g00042.t2	2.059180
Gpal_D383_g00043.t1	13.991887
Gpal_D383_g00043.t2	4.311488
Gpal_D383_g00044.t1	20.500772
Gpal_D383_g00045.t1	49.729847
Gpal_D383_g00051.t1	3.629425
Gpal_D383_g00050.t1	112.096535
Gpal_D383_g00052.t1	32.516281
Gpal_D383_g00057.t1	0.000000
Gpal_D383_g00057.t2	0.000000
Gpal_D383_g00046.t3	0.000000
Gpal_D383_g00046.t4	0.000000
Gpal_D383_g00047.t1	0.000000
Gpal_D383_g00048.t1	0.000000
Gpal_D383_g00046.t1	14.869172
Gpal_D383_g00046.t2	9.922296
Gpal_D383_g00046.t5	80.389351
Gpal_D383_g00047.t2	25.173502
Gpal_D383_g00049.t1	13.422352
Gpal_D383_g00055.t1	8.439539
Gpal_D383_g00056.t1	17.018551
Gpal_D383_g00058.t1	18.421892
Gpal_D383_g00059.t2	6.810809
Gpal_D383_g00059.t1	0.832653
Gpal_D383_g00060.t1	12.620949
Gpal_D383_g00062.t1	43.683960
Gpal_D383_g00063.t2	0.000000
Gpal_D383_g00063.t1	5.244792
Gpal_D383_g00068.t1	8.258982
Gpal_D383_g00065.t2	0.000000
Gpal_D383_g00066.t1	0.000000
Gpal_D383_g00064.t1	303.483002
Gpal_D383_g00065.t1	1.954908
Gpal_D383_g00065.t3	1.090536
Gpal_D383_g00069.t1	116.148949
Gpal_D383_g00070.t3	0.000000
Gpal_D383_g00070.t5	0.000000
Gpal_D383_g00070.t2	2.684770
Gpal_D383_g00070.t1	0.218286
Gpal_D383_g00070.t4	3.590868
Gpal_D383_g00071.t1	0.000000
Gpal_D383_g00072.t2	0.000000
Gpal_D383_g00072.t1	27.331532
Gpal_D383_g00073.t1	4.582122
Gpal_D383_g00074.t1	52.908978
Gpal_D383_g00078.t3	0.000000
Gpal_D383_g00078.t2	53.224098
Gpal_D383_g00078.t1	3.427693
Gpal_D383_g00079.t2	48.144066
Gpal_D383_g00079.t1	12.130119
Gpal_D383_g00085.t1	25.914219
Gpal_D383_g00084.t1	0.000000
Gpal_D383_g00084.t2	0.000000
Gpal_D383_g00084.t4	0.000000
Gpal_D383_g00081.t1	13.688232
Gpal_D383_g00082.t1	2.455597
Gpal_D383_g00083.t1	5.133127
Gpal_D383_g00083.t2	4.766672
Gpal_D383_g00084.t3	1.434371
Gpal_D383_g00088.t1	0.000000
Gpal_D383_g00086.t1	16.079386
Gpal_D383_g00087.t2	7.343616
Gpal_D383_g00087.t1	3.454745
Gpal_D383_g00089.t1	1.471008
Gpal_D383_g00092.t1	44.412167
Gpal_D383_g00093.t2	67.794899
Gpal_D383_g00093.t1	6.719042
Gpal_D383_g00093.t4	16.361002
Gpal_D383_g00093.t3	1.806004
Gpal_D383_g00090.t1	119.606476
Gpal_D383_g00091.t1	44.631851
Gpal_D383_g00091.t2	82.609299
Gpal_D383_g00091.t3	0.443077
Gpal_D383_g00095.t2	0.000000
Gpal_D383_g00094.t1	18.597355
Gpal_D383_g00094.t3	14.630798
Gpal_D383_g00094.t2	2.137952
Gpal_D383_g00095.t1	37.947464
Gpal_D383_g00101.t2	22.511761
Gpal_D383_g00101.t1	0.494802
Gpal_D383_g00101.t3	10.713318
Gpal_D383_g00103.t3	0.000000
Gpal_D383_g00103.t2	8.223117
Gpal_D383_g00103.t1	0.072221
Gpal_D383_g00105.t1	16.748024
Gpal_D383_g00102.t1	13.651284
Gpal_D383_g00112.t1	14.676147
Gpal_D383_g00111.t3	0.000000
Gpal_D383_g00111.t2	19.570276
Gpal_D383_g00111.t1	1.742106
Gpal_D383_g00111.t4	1.451079
Gpal_D383_g00106.t2	0.000000
Gpal_D383_g00110.t2	0.000000
Gpal_D383_g00110.t3	0.000000
Gpal_D383_g00106.t1	0.150278
Gpal_D383_g00107.t1	75.870544
Gpal_D383_g00108.t1	22.997576
Gpal_D383_g00109.t1	54.550953
Gpal_D383_g00110.t1	41.677738
Gpal_D383_g00113.t1	81.585602
Gpal_D383_g00113.t2	0.593207
Gpal_D383_g00114.t1	91.617622
Gpal_D383_g00115.t1	11.065201
Gpal_D383_g00116.t2	114.934341
Gpal_D383_g00116.t1	3.493572
Gpal_D383_g00116.t3	0.710101
Gpal_D383_g00117.t1	138.125137
Gpal_D383_g00118.t1	895.686951
Gpal_D383_g00119.t1	31.865480
Gpal_D383_g00120.t1	90.759132
Gpal_D383_g00121.t1	136.659897
Gpal_D383_g00122.t1	108.048660
Gpal_D383_g00123.t1	19.969297
Gpal_D383_g00132.t1	57.708012
Gpal_D383_g00133.t1	58.690968
Gpal_D383_g00134.t1	52.814983
Gpal_D383_g00135.t1	61.794910
Gpal_D383_g00139.t1	14.729730
Gpal_D383_g00137.t1	0.000000
Gpal_D383_g00138.t1	0.000000
Gpal_D383_g00136.t1	13.969486
Gpal_D383_g00140.t1	29.889940
Gpal_D383_g00125.t2	0.000000
Gpal_D383_g00130.t1	0.000000
Gpal_D383_g00131.t1	0.000000
Gpal_D383_g00124.t1	45.420818
Gpal_D383_g00125.t1	3.297865
Gpal_D383_g00125.t3	55.388489
Gpal_D383_g00126.t1	35.156876
Gpal_D383_g00126.t2	0.859490
Gpal_D383_g00127.t1	84.592224
Gpal_D383_g00128.t1	2462.754150
Gpal_D383_g00129.t1	60.919777
Gpal_D383_g00148.t1	168.565536
Gpal_D383_g00149.t1	98.894020
Gpal_D383_g00150.t3	0.000000
Gpal_D383_g00150.t1	72.915825
Gpal_D383_g00150.t2	14.477258
Gpal_D383_g00142.t1	0.000000
Gpal_D383_g00141.t1	65.343620
Gpal_D383_g00143.t1	51.670712
Gpal_D383_g00144.t1	15.831030
Gpal_D383_g00145.t1	44.602997
Gpal_D383_g00146.t1	0.388462
Gpal_D383_g00147.t1	209.939835
Gpal_D383_g00153.t1	108.059288
Gpal_D383_g00154.t1	18.229290
Gpal_D383_g00151.t1	239.284470
Gpal_D383_g00152.t2	122.525360
Gpal_D383_g00152.t1	84.222137
Gpal_D383_g00157.t2	0.000000
Gpal_D383_g00157.t3	0.000000
Gpal_D383_g00156.t1	4.243352
Gpal_D383_g00157.t1	32.971142
Gpal_D383_g00155.t2	167.444153
Gpal_D383_g00155.t1	107.595741
Gpal_D383_g00155.t3	7.691439
Gpal_D383_g00160.t1	8.946295
Gpal_D383_g00161.t1	0.000000
Gpal_D383_g00161.t3	0.000000
Gpal_D383_g00161.t4	0.000000
Gpal_D383_g00161.t2	11.375800
Gpal_D383_g00162.t3	0.000000
Gpal_D383_g00162.t1	2.813627
Gpal_D383_g00162.t2	10.093023
Gpal_D383_g00163.t1	3.879399
Gpal_D383_g00168.t2	0.000000
Gpal_D383_g00168.t1	10.468179
Gpal_D383_g00159.t2	0.000000
Gpal_D383_g00158.t2	266.279816
Gpal_D383_g00158.t1	11.307612
Gpal_D383_g00159.t1	8.460357
Gpal_D383_g00159.t3	89.871666
Gpal_D383_g00159.t4	5.243005
Gpal_D383_g00165.t2	0.000000
Gpal_D383_g00164.t1	29.220989
Gpal_D383_g00165.t1	12.721744
Gpal_D383_g00166.t1	44.320141
Gpal_D383_g00167.t1	50.947350
Gpal_D383_g00169.t1	63.478500
Gpal_D383_g00170.t1	20.095638
Gpal_D383_g00171.t1	107.303612
Gpal_D383_g00174.t1	29.026171
Gpal_D383_g00172.t1	34.261219
Gpal_D383_g00178.t1	3.838336
Gpal_D383_g00177.t3	0.000000
Gpal_D383_g00177.t7	0.000000
Gpal_D383_g00177.t8	0.000000
Gpal_D383_g00176.t1	18.579927
Gpal_D383_g00177.t2	41.512527
Gpal_D383_g00177.t1	16.446867
Gpal_D383_g00177.t4	4.186532
Gpal_D383_g00177.t6	14.050378
Gpal_D383_g00177.t5	0.284022
Gpal_D383_g00180.t1	41.302616
Gpal_D383_g00184.t1	14.622026
Gpal_D383_g00182.t1	53.070221
Gpal_D383_g00183.t1	290.010376
Gpal_D383_g00187.t1	11.035902
Gpal_D383_g00188.t1	5.813995
Gpal_D383_g00189.t1	12.070582
Gpal_D383_g00190.t1	21.746702
Gpal_D383_g00185.t2	25.650454
Gpal_D383_g00185.t1	7.011106
Gpal_D383_g00186.t1	26.945780
Gpal_D383_g00191.t1	54.970898
Gpal_D383_g00192.t1	70.252090
Gpal_D383_g00193.t1	44.390102
Gpal_D383_g00194.t1	4.912241
Gpal_D383_g00196.t1	7.583015
Gpal_D383_g00195.t1	16.589220
Gpal_D383_g00200.t1	0.000000
Gpal_D383_g00198.t1	2.580039
Gpal_D383_g00199.t2	10.159786
Gpal_D383_g00199.t1	3.000736
Gpal_D383_g00201.t1	120.829544
Gpal_D383_g00202.t1	292.027313
Gpal_D383_g00203.t1	11.963349
Gpal_D383_g00204.t1	3.140152
Gpal_D383_g00205.t1	5.749357
Gpal_D383_g00207.t3	0.000000
